# CREATED_DATE: 2020-01-12T19:42:56.601Z
# MODIFIED_DATE: 2022-07-23T07:04:50.654Z
# STATUS: NeedsTemplate
# OBS_GROUP: YSE
# NON_DETECT_BAND: Gaia-Photometric - G
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: SN Ib/c
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: SDSSJ124243.88+024327.9; (12:42:43.89, +02:43:27.98)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020ue
# RA: 190.6949078274054
# DEC: 2.6595073717721083
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-01-19T00:00:00Z
# REDSHIFT: 0.003
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-01-20T05:54:14Z
# NON_DETECT_LIMIT: 21.5
# MW_EBV: 0.025
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10AYSEaes/58867/1124246771023934200_58867.608_101669914_2_target.jpeg
# POSTAGE_STAMP_REF: 10AYSEaes/58867/1124246771023934200_58867.608_101669914_2_ref.jpeg
# POSTAGE_STAMP_DIFF: 10AYSEaes/58867/1124246771023934200_58867.608_101669914_2_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10AYSEaes/58867/1124246771023934200_58867.608_101669914_2_target.fits
# POSTAGE_STAMP_REF_FITS: 10AYSEaes/58867/1124246771023934200_58867.608_101669914_2_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10AYSEaes/58867/1124246771023934200_58867.608_101669914_2_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: 0.83
# ALT_STATUS: CONFIRMED
# SLUG: 2020ue
# REAL_BOGUS_SCORE: None
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [10, 22, 29, 32, 47, 77]
# END: 
NVAR: 10 PHOTOMETRY
VARNAMES: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR MAGSYS TELESCOPE INSTRUMENT DQ
OBS: 58870.249 sso1m::ip 795111.830 4347.352 12.749 0.006 None Siding_Spring_1m Sinistro None
OBS: 58870.280 sso1m::B 1435802.721 16447.288 12.108 0.012 None Siding_Spring_1m Sinistro None
OBS: 58870.280 sso1m::V 1289993.239 13327.195 12.224 0.011 None Siding_Spring_1m Sinistro None
OBS: 58870.282 sso1m::gp 1440318.067 13016.019 12.104 0.010 None Siding_Spring_1m Sinistro None
OBS: 58870.283 sso1m::rp 1174615.183 9921.165 12.325 0.009 None Siding_Spring_1m Sinistro None
OBS: 58870.284 sso1m::ip 789794.006 6334.319 12.756 0.009 None Siding_Spring_1m Sinistro None
OBS: 58870.649 sso1m::up 1140786.299 31012.181 12.357 0.030 None Siding_Spring_1m Sinistro None
OBS: 58870.650 sso1m::gp 1394219.443 11772.155 12.139 0.009 None Siding_Spring_1m Sinistro None
OBS: 58870.651 sso1m::rp 1160878.847 8561.930 12.338 0.008 None Siding_Spring_1m Sinistro None
OBS: 58870.653 sso1m::ip 790546.976 5829.867 12.755 0.008 None Siding_Spring_1m Sinistro None
OBS: 58871.242 sso1m::up 1177294.141 54247.052 12.323 0.050 None Siding_Spring_1m Sinistro None
OBS: 58871.243 sso1m::gp 35017.371 35017.371 16.139 1.086 None Siding_Spring_1m Sinistro Bad
OBS: 58871.244 sso1m::rp 1149948.575 7575.507 12.349 0.007 None Siding_Spring_1m Sinistro None
OBS: 58871.246 sso1m::ip 27964.089 27964.089 16.383 1.086 None Siding_Spring_1m Sinistro Bad
OBS: 58871.339 sso1m::up 1158039.071 74873.452 12.340 0.070 None Siding_Spring_1m Sinistro None
OBS: 58871.340 sso1m::gp 29685.411 29685.411 16.319 1.086 None Siding_Spring_1m Sinistro Bad
OBS: 58871.341 sso1m::rp 24572.564 24572.564 16.524 1.086 None Siding_Spring_1m Sinistro Bad
OBS: 58871.343 sso1m::ip 21593.812 21593.812 16.664 1.086 None Siding_Spring_1m Sinistro Bad
OBS: 58872.314 sso1m::up 1078130.272 14042.887 12.418 0.014 None Siding_Spring_1m Sinistro None
OBS: 58872.315 sso1m::gp 1519457.909 9198.592 12.046 0.007 None Siding_Spring_1m Sinistro None
